variable,fvalue_pastoreo,p_pastoreo,fvalue_meses,p_meses,fvalue_pastoreo:meses,p_pastoreo:meses
c_n,4.241,0.085,45.265,0,0.821,0.484
cic,2.6,0.158,42.238,0,1.101,0.35
c_percent,1.521,0.264,5.41,0.001,0.101,0.959
k_percent,3.969,0.093,333.106,0,4.352,0.005
humedad,0.388,0.556,20.562,0,6.173,0.001
fe_percent,0.442,0.531,101.449,0,1.661,0.177
mg_percent,0.804,0.404,3.155,0.026,3.203,0.025
mo,1.482,0.269,15.144,0,0.546,0.651
p,0.022,0.888,10.044,0,1.207,0.309
p_h_agua_eez,0.756,0.418,18.983,0,3.326,0.021
p_h_k_cl,0.076,0.792,12.491,0,2.313,0.078
n_percent,0.029,0.865,14.767,0.002,0.411,0.938
na_percent,5.699,0.017,182.717,0,18.952,0
